project,rm,ed,category
spring-data-redis,40,0.2801905296,Non-web libraries and frameworks
Chronicle-Map,40,0.321888412,Application
bndtools,40,0.2139037433,Application
GeoGig,40,0.1177301625,Application
material-dialogs,40,0.6915629322,Non-web libraries and frameworks
sql2o,40,0.378214826,Non-web libraries and frameworks
weave,40,0.2084201751,Software tools
SIREn,40,0.1404889014,Non-web libraries and frameworks
spring-data-solr,40,0.1365001365,Non-web libraries and frameworks
OpenGrok,40,0.1265502404,Software tools
gwt-maven-plugin,40,0.744047619,Application
pentaho-platform,39.6946564885,0.5361601113,Non-web libraries and frameworks
jetty.project,39.603960396,0.3557089526,Application
infinispan,39.4088669951,0.3598652721,Software tools
camunda-bpm-platform,39.0977443609,0.3229017456,Non-web libraries and frameworks
Mekanism,38.4615384615,0.3085198956,Application
workflow-plugin,38.0952380952,0.7279029463,Application
flink,37.6146788991,0.3455600292,Non-web libraries and frameworks
google-http-java-client,37.5,0.7749434937,Web libraries and frameworks
jbpm,37.5,0.1117995062,Application
robovm,37.3349339736,0.6198285612,Software tools
nd4j,37.3134328358,0.4746723344,Non-web libraries and frameworks
fixflow,36.3636363636,0.0644329897,Software tools
closure-compiler,36.3636363636,0.0409317556,Software tools
astyanax,36.25,1.0293360782,Web libraries and frameworks
spring-amqp,35.7142857143,0.343980344,Software tools
hadoop,35.3448275862,0.4378845646,Software tools
openstack-java-sdk,35,0.6620324396,Non-web libraries and frameworks
rabbitmq-java-client,33.3333333333,0.3727865797,Web libraries and frameworks
AndroidCaldavSyncAdapater,33.3333333333,0.4958677686,Non-web libraries and frameworks
UpdateChecker,33.3333333333,7.1428571429,Non-web libraries and frameworks
governator,33.3333333333,0.4066877542,Web libraries and frameworks
TestFX,33.3333333333,0.3436426117,Non-web libraries and frameworks
androidclient,33.3333333333,0.2029769959,Non-web libraries and frameworks
semantic-versioning,33.3333333333,0.6329113924,Software tools
infovore,33.3333333333,0.20229265,Non-web libraries and frameworks
ehcache3,33.3333333333,0.046339203,Non-web libraries and frameworks
dcm4che,33.3333333333,0.0409109505,Application
hibernate-validator,33.3333333333,0.0408997955,Non-web libraries and frameworks
Web-Karma,33.3333333333,0.039819485,Application
cascading,33.3333333333,0.0279147669,Non-web libraries and frameworks
fitnesse,33.3333333333,0.0270855905,Non-web libraries and frameworks
PassAndroid,33.3333333333,0.3045685279,Application
ioke,33.3333333333,0.0614376408,System Software
SeriesGuide,33.3333333333,0.0613999181,Application
cdk,32.6086956522,0.9986973513,Non-web libraries and frameworks
parquet-mr,32.5842696629,1.1571967234,Software tools
artemis-odb,32.3529411765,2.2049286641,Non-web libraries and frameworks
ribbon,32.2580645161,1.0682288077,Web libraries and frameworks
asciidoctorj,32,1.9290123457,Non-web libraries and frameworks
pentaho-kettle,30.8300395257,0.4438596491,Software tools
Activiti,30.7692307692,0.1375224796,Software tools
jOOQ,29.9145299145,0.9793663416,Software tools
eucalyptus,29.3103448276,0.188470787,System Software
jcommon,29.0322580645,0.7151095732,Non-web libraries and frameworks
g4studio,29.0322580645,0.5100361961,Application
ambari,28.5714285714,0.0507890441,Software tools
blueprints,28.5714285714,0.3552397869,Non-web libraries and frameworks
XposedBridge,28.5714285714,0.4265691651,Non-web libraries and frameworks
aws-toolkit-eclipse,28.5714285714,0.0819576162,Application
opensearchserver,28.5714285714,0.0564379586,Application
CloudStack-archive,27.5862068966,0.0814869972,System Software
JGroups,27.397260274,0.421599769,Non-web libraries and frameworks
unfolding,27.2727272727,0.7053542802,Non-web libraries and frameworks
choco3,27.2727272727,0.1162299239,Non-web libraries and frameworks
bitcoinj,25,0.2471615046,Non-web libraries and frameworks
CommandBook,25,1.81200453,System Software
hector,25,0.3395585739,Non-web libraries and frameworks
spring-social,25,0.4910988336,Non-web libraries and frameworks
arquillian-core,25,0.2288984263,Software tools
less4j,25,0.170031881,Software tools
gwt-bootstrap,25,0.2561639449,Web libraries and frameworks
ScreenSlicer,25,0.7149240393,Application
CircularReveal,25,1.3513513514,Application
