project;url;stars;whatchers;contributors;forks;size;releases;NOF;branches;duration;avgTime;commits;files_contributor;APIs_contributor ;quantFields_last;quantElements_last;quantFieldsDeprecated_last;quantFieldsDeprecatedWithRelMessage_last;quantTypes_last;quantTypesDeprecated_last;quantTypesDeprecatedWithRelMessage_last;quantMethods_last;quantMethodsDeprecated_last;quantMethodsDeprecatedWithRelMessage_last;quantElements_last;quantElementsDeprecated_last;quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecated_last;avgPopularity;avgSize;avgCommunity;avgActivity;avgMaturity;avgAll;category
jena;git://github.com/apache/jena.git;149;44;11;122;455358;37;12116;10;1200;324.324.324.324;3959;11.014.545.454.546;57.723.636.363.636;9200;63496;32;19;5662;17;9;48634;159;77;63496;208;105;504.807.692.308;0.3275796901;81.5;349.386.666.666.667;22.949.393.939.394;34.369.090.909.091;1200;8.390.403.030.303;Non-web libraries and frameworks
jbehave-core;git://github.com/jbehave/jbehave-core.git;138;27;42;162;40142;101;1178;4;1988;196.831.683.168;2016;280.476.190.476;1.467.619.047.619;260;6164;6;4;1036;4;2;4868;26;12;6164;36;18;50;0.58403634;92.25;378.236.666.666.667;722.698.412.698;874.047.619.048;1988;80.127.182.539.683;Non-web libraries and frameworks
Pydev;git://github.com/aptana/Pydev.git;232;38;23;187;102996;54;4311;12;4039;747.962.962.963;6484;1.874.347.826.087;16.273.043.478.261;5628;37428;0;0;3103;7;1;28697;11;8;37428;18;9;50;0.0480923373;120;230.083.333.333.333;6.125.797.101.449;9.073.695.652.174;4039;57.374.565.217.391;Application
mixpanel-android;git://github.com/mixpanel/mixpanel-android.git;169;41;14;117;31298;46;299;13;1836;399.130.434.783;1329;213.571.428.571;1.462.142.857.143;184;2047;0;0;229;1;1;1634;13;6;2047;14;7;50;0.6839276991;85.25;78.513.333.333.333;605.238.095.238;837.857.142.857;1836;19.833.785.714.286;Non-web libraries and frameworks
Lealone;git://github.com/codefollower/Lealone.git;383;115;1;134;20802;9;705;2;1139;1.265.555.555.556;749;705;12674;1922;12674;0;0;790;0;0;9962;12;6;12674;12;6;50;0.0946820262;158.25;65.606.666.666.667;4460;6689.5;1139;38.014.833.333.333;Application
config;git://github.com/typesafehub/config.git;1455;113;26;217;6786;24;222;9;1378;574.166.666.667;771;85.384.615.385;637.692.307.692;91;1658;0;0;165;0;0;1402;8;4;1658;8;4;50;0.482509047;452.75;44.813.333.333.333;327.692.307.692;361.538.461.538;1378;12.762.012.820.513;Non-web libraries and frameworks
twilio-java;git://github.com/twilio/twilio-java.git;168;76;32;138;11489;69;297;36;2157;312.608.695.652;626;928.125;7.471.875;166;2391;0;0;253;0;0;1972;6;3;2391;6;3;50;0.2509410289;103.5;402.756.666.666.667;386.666.666.667;42;2157;85.233.666.666.667;Non-web libraries and frameworks
thucydides;git://github.com/thucydides-webtests/thucydides.git;255;70;27;113;116248;138;2188;173;1478;107.101.449.275;2138;81.037.037.037;3.829.259.259.259;976;10339;0;0;1221;0;0;8142;6;3;10339;6;3;50;0.0580326917;116.25;55.046.666.666.667;1.636.543.209.877;2.319.814.814.815;1478;14.989.104.938.272;Software tools
orbit;git://github.com/electronicarts/orbit.git;751;67;11;64;5714;15;461;4;147;9.8;793;419.090.909.091;2.234.545.454.545;210;2458;0;0;475;0;0;1773;4;2;2458;4;2;50;0.16273393;223.25;46.826.666.666.667;921.212.121.212;1.326.818.181.818;147;10.555.439.393.939;Non-web libraries and frameworks
HugeCollections;git://github.com/OpenHFT/HugeCollections.git;268;62;11;51;11446;11;144;5;540;490.909.090.909;766;130.909.090.909;250;346;2750;0;0;298;0;0;2106;4;2;2750;4;2;50;0.1454545455;98;835.063.333.333.333;913.636.363.636;1.315.454.545.455;540;168.734.484.848.485;Non-web libraries and frameworks
errai;git://github.com/errai/errai.git;160;34;39;139;243529;75;4240;25;2387;318.266.666.667;7091;1.087.179.487.179;6.187.692.307.692;1309;24132;0;0;3387;2;1;19436;2;1;24132;4;2;50;0.0165755014;93;82.346.666.666.667;2.554.957.264.957;3.637.435.897.436;2387;22.667.811.965.812;Web libraries and frameworks
idea-php-laravel-plugin;git://github.com/Haehnchen/idea-php-laravel-plugin.git;134;16;2;11;509;10;63;2;322;32.2;77;31.5;231.5;22;463;0;0;72;0;0;369;2;1;463;2;1;50;0.4319654428;40.75;7.883.333.333.333;883.333.333.333;131.5;322;2.741.833.333.333;Web libraries and frameworks
signpost;git://github.com/mttkay/signpost.git;372;27;5;106;1809;5;93;7;2233;446.6;135;18.6;95.2;48;476;0;0;64;0;0;364;2;1;476;2;1;50;0.4201680672;127.5;18.986.666.666.667;39.6;56.9;2233;8.711.333.333.333;Non-web libraries and frameworks
datacube;git://github.com/urbanairship/datacube.git;232;121;8;43;5118;12;102;21;1016;846.666.666.667;167;12.75;89125;108;713;0;0;125;1;0;480;1;1;713;2;1;50;0.2805049088;101;16.343.333.333.333;36625;509.375;1016;5.677.791.666.667;System Software
hbc;git://github.com/twitter/hbc.git;514;240;16;175;4083;12;107;3;699;58.25;233;66.875;52.5;90;840;0;0;89;0;0;661;2;1;840;2;1;50;0.2380952381;236.25;14.713.333.333.333;250.625;2.959.375;699;4.922.479.166.667;Non-web libraries and frameworks
stream-lib;git://github.com/addthis/stream-lib.git;1172;177;23;294;3488;16;86;16;1575;984.375;300;37.391.304.348;393.043.478.261;86;904;0;0;99;0;0;719;2;1;904;2;1;50;0.2212389381;416.5;20.616.666.666.667;220.144.927.536;215.217.391.304;1575;8.193.405.797.101;Non-web libraries and frameworks
android-maps-utils;git://github.com/googlemaps/android-maps-utils.git;1031;137;23;469;5111;9;170;3;804;893.333.333.333;554;73.913.043.478;492.608.695.652;55;1133;0;0;130;2;1;948;0;0;1133;2;1;50;0.1765225066;415;120.986.666.666.667;265.507.246.377;283.260.869.565;804;26.745.086.956.522;Non-web libraries and frameworks
wigle-wifi-wardriving;git://github.com/wiglenet/wigle-wifi-wardriving.git;108;29;14;60;34961;66;202;2;1980;30;740;144.285.714.286;812.857.142.857;186;1138;0;0;110;2;1;842;0;0;1138;2;1;50;0.1757469244;52.75;174.733.333.333.333;365.714.285.714;478.571.428.571;1980;39.181.023.809.524;Application
platform_packages_apps_contacts;git://github.com/android/platform_packages_apps_contacts.git;210;30;31;181;50603;158;679;56;2414;152.784.810.127;10300;219.032.258.065;902.903.225.806;325;2799;0;0;267;1;1;2207;1;0;2799;2;1;50;0.0714540907;113;168.093.333.333.333;477.311.827.957;560.967.741.935;2414;38.880.322.580.645;Non-web libraries and frameworks
brut.apktool;git://github.com/brutall/brut.apktool.git;278;46;8;682;47220;14;409;3;1121;800.714.285.714;495;51125;461.25;477;3690;0;0;398;0;0;2815;2;1;3690;2;1;50;0.054200542;253.5;6968;1.734.583.333.333;2.561.875;1121;17.544.291.666.667;Application
nodeclipse-1;git://github.com/Nodeclipse/nodeclipse-1.git;107;15;6;59;14149;7;3065;2;1223;1.747.142.857.143;832;5.108.333.333.333;29.641.666.666.667;1727;17785;0;0;2907;1;0;13151;1;1;17785;2;1;50;0.0112454315;46.75;72.146.666.666.667;11.603.333.333.333;1737.5;1223;2276.45;Application
GeoIP2-java;git://github.com/maxmind/GeoIP2-java.git;114;30;11;45;3806;20;53;4;832;41.6;356;48.181.818.182;241.818.181.818;13;266;0;0;44;0;0;209;2;1;266;2;1;50;0.7518796992;50;148.726.666.666.667;133.333.333.333;14.5;832;3156.5;Non-web libraries and frameworks
analytics-android;git://github.com/segmentio/analytics-android.git;115;19;25;59;44134;72;218;6;867;120.416.666.667;1060;8.72;73.12;288;1828;0;0;138;0;0;1402;2;1;1828;2;1;50;0.1094091904;54.5;1505;356.133.333.333;40.92;867;5.006.066.666.667;Non-web libraries and frameworks
nginx-clojure;git://github.com/nginx-clojure/nginx-clojure.git;530;42;4;34;2327;14;360;2;624;445.714.285.714;288;90;1256;1443;5024;1;1;394;0;0;3187;1;0;5024;2;1;50;0.0398089172;152.5;43597;450;673;624;9099.3;Non-web libraries and frameworks
Kylin;git://github.com/KylinOLAP/Kylin.git;511;95;23;227;124394;4;1373;6;448;112;1975;596.956.521.739;331;939;7613;0;0;735;0;0;5939;2;1;7613;2;1;50;0.0262708525;214;464.656.666.666.667;1.378.985.507.246;195.347.826.087;448;94.921.826.086.957;Software tools
incubator-kylin;git://github.com/apache/incubator-kylin.git;103;23;25;65;130481;8;1303;15;434;54.25;2153;52.12;320.6;1014;8015;0;0;762;0;0;6239;2;1;8015;2;1;50;0.0249532127;54;141569;1.325.733.333.333;186.36;434;284.751.866.666.667;Software tools
BroadleafCommerce;git://github.com/BroadleafCommerce/BroadleafCommerce.git;549;153;43;550;413721;162;2971;63;2408;148.641.975.309;9292;690.930.232.558;6.044.186.046.512;4956;25990;38;8;2436;65;45;18598;346;168;25990;449;221;492.204.899.777;17.275.875.337;323.75;15015;2.388.372.093.023;3.367.558.139.535;2408;36.644.686.046.512;Non-web libraries and frameworks
avro;git://github.com/apache/avro.git;354;35;6;249;17458;58;1597;7;2315;399.137.931.034;1360;2.661.666.666.667;13.543.333.333.333;658;8126;16;3;1043;4;4;6425;41;23;8126;61;30;491.803.278.689;0.7506768398;161;221808;5.421.666.666.667;810.25;2315;451.272.833.333.333;Software tools
isis;git://github.com/apache/isis.git;165;38;19;99;648614;62;8684;13;4034;65.064.516.129;6000;4.570.526.315.789;21.333.157.894.737;2389;40533;39;35;6285;221;65;31859;212;128;40533;472;228;483.050.847.458;11.644.832.606;80.25;946.693.333.333.333;8.697.894.736.842;12.951.842.105.263;4034;201.897.114.035.088;Non-web libraries and frameworks
zanata-server;git://github.com/zanata/zanata-server.git;111;26;14;30;241003;88;2472;51;1671;189.886.363.636;11590;1.765.714.285.714;11.303.571.428.572;1210;15825;1;0;1899;0;0;12716;20;10;15825;21;10;47.619.047.619;0.1327014218;45.25;209.076.666.666.667;4.403.095.238.095;6.534.642.857.143;1671;47.435.380.952.381;Application
flume-release;git://github.com/apache/flume.git;431;99;10;332;46025;16;873;18;1472;92;1567;87.3;827.2;1065;8272;17;13;894;3;0;6313;14;3;8272;34;16;470.588.235.294;0.4110251451;218;134.323.333.333.333;3.081.666.666.667;457.25;1472;3177.55;Software tools
hydra;git://github.com/addthis/hydra.git;290;50;11;53;30230;94;1795;35;602;64.042.553.191;2066;1.631.818.181.818;845;986;9295;0;0;1144;6;0;7165;11;8;9295;17;8;470.588.235.294;0.182894029;101;45.373.333.333.333;3.397.272.727.273;5.040.909.090.909;602;12.168.303.030.303;Software tools
java-object-diff;git://github.com/SQiShER/java-object-diff.git;214;26;11;60;4067;17;250;4;1175;691.176.470.588;377;227.272.727.273;1.210.909.090.909;11;1332;0;0;217;9;2;1104;6;5;1332;15;7;466.666.666.667;11.261.261.261;77.75;47.196.666.666.667;516.060.606.061;719.090.909.091;1175;12.191.863.636.364;Non-web libraries and frameworks
mct;git://github.com/nasa/mct.git;571;138;13;169;11080;7;1747;6;839;1.198.571.428.571;975;1.343.846.153.846;11.286.923.076.923;1208;14673;0;0;1569;0;0;11896;15;7;14673;15;7;466.666.666.667;0.1022285831;222.75;28149;425.358.974.359;6.315.384.615.385;839;60.535.294.871.795;Application
hibernate-search;git://github.com/hibernate/hibernate-search.git;149;35;36;108;68003;83;1771;14;2928;352.771.084.337;3938;491.944.444.444;3.620.833.333.333;819;13035;0;0;1883;7;3;10333;21;10;13035;28;13;464.285.714.286;0.2148062908;82;66.856.666.666.667;1.490.925.925.926;2.056.388.888.889;2928;20.100.796.296.296;Software tools
denominator;git://github.com/Netflix/denominator.git;189;209;12;51;6679;46;343;11;1237;268.913.043.478;687;285.833.333.333;2.510.833.333.333;508;3013;0;0;471;0;0;2034;13;6;3013;13;6;461.538.461.538;0.4314636575;115.25;17707;972.222.222.222;1.398.333.333.333;1237;38.592.611.111.111;Software tools
jackson-databind;git://github.com/FasterXML/jackson-databind.git;672;79;70;299;49378;56;730;13;1335;238.392.857.143;2439;104.285.714.286;2.070.571.428.571;2391;14494;6;3;2318;8;5;9785;170;76;14494;184;84;45.652.173.913;12.694.908.238;280;71.263.333.333.333;958.285.714.286;1.087.428.571.429;1335;1.789.180.952.381;Non-web libraries and frameworks
DataflowJavaSDK;git://github.com/GoogleCloudPlatform/DataflowJavaSDK.git;340;98;41;100;6066;11;819;2;249;226.363.636.364;969;199.756.097.561;2.852.195.121.951;882;11694;1;0;1702;1;0;9110;9;5;11694;11;5;454.545.454.545;0.0940653326;144.75;4910;1.153.983.739.837;1.525.975.609.756;249;11.143.491.869.919;Software tools
HotswapAgent;git://github.com/HotswapProjects/HotswapAgent.git;233;52;8;49;2551;7;485;3;636;908.571.428.571;206;60625;830.75;1227;6646;0;0;621;5;1;4798;6;4;6646;11;5;454.545.454.545;0.1655130906;85.5;164.209.666.666.667;2.997.916.666.667;4.456.875;636;331.353.291.666.667;Software tools
mule;git://github.com/mulesoft/mule.git;225;109;51;279;476258;56;9725;54;3836;68.5;17945;1.906.862.745.098;11.245.490.196.079;5812;57352;6;2;7551;178;68;43989;309;151;57352;493;221;448.275.862.069;0.8596038499;166;281.903.333.333.333;4.554.117.647.059;6.576.176.470.588;3836;66.610.725.490.196;Application
FML;git://github.com/MinecraftForge/FML.git;422;149;52;230;26800;28;419;18;1138;406.428.571.429;1796;80.576.923.077;580.769.230.769;387;3020;0;0;368;3;3;2265;26;10;3020;29;13;448.275.862.069;0.9602649007;213.25;121.414.666.666.667;393.782.051.282;330.673.076.923;1138;245.676.724.358.974;Application
autopsy;git://github.com/sleuthkit/autopsy.git;151;45;26;96;358886;24;2338;17;2516;1.048.333.333.333;8579;899.230.769.231;3.687.307.692.308;649;9587;0;0;1053;2;2;7885;36;15;9587;38;17;447.368.421.053;0.3963700845;79.5;622.193.333.333.333;1.615.512.820.513;2.293.269.230.769;2516;130.411.423.076.923;Application
marytts;git://github.com/marytts/marytts.git;268;56;17;216;175067;24;2004;4;3480;145;3674;1.178.823.529.412;8.632.941.176.471;3419;14676;0;0;1218;6;2;10039;41;19;14676;47;21;446.808.510.638;0.3202507495;139.25;36259;3.327.254.901.961;4.905.882.352.941;3480;8.140.312.745.098;Non-web libraries and frameworks
mockito;git://github.com/mockito/mockito.git;1498;132;56;342;93180;83;921;6;2826;340.481.927.711;2817;164.464.285.714;1.072.321.428.571;335;6005;0;0;1190;11;5;4480;14;6;6005;25;11;44;0.4163197336;507;5855;598.928.571.429;618.392.857.143;2826;18.619.464.285.714;Non-web libraries and frameworks
aws-sdk-android;git://github.com/aws/aws-sdk-android.git;106;32;3;56;8351;13;3209;2;395;303.846.153.846;23;10.696.666.666.667;98.963.333.333.333;599;29689;3;1;3126;32;27;25964;177;65;29689;212;93;438.679.245.283;0.7140691839;49.25;814.646.666.666.667;36.563.333.333.333;5483;395;18209.65;Non-web libraries and frameworks
DSpace;git://github.com/DSpace/DSpace.git;172;71;82;418;211640;70;3065;14;4848;692.571.428.571;7518;373.780.487.805;2.090.365.853.659;2235;17141;19;1;1814;22;22;13092;46;15;17141;87;38;436.781.609.195;0.5075549851;185.75;29826;1.094.715.447.154;1.232.073.170.732;4848;70.184.857.723.577;System Software
android-database-sqlcipher;git://github.com/sqlcipher/android-database-sqlcipher.git;593;74;12;224;72206;20;131;5;1633;81.65;281;109.166.666.667;610.833.333.333;85;733;7;7;53;0;0;595;28;8;733;35;15;428.571.428.571;47.748.976.808;225.75;30.633.333.333.333;28;36;1633;9.972.166.666.667;Non-web libraries and frameworks
gerrit-trigger-plugin;git://github.com/jenkinsci/gerrit-trigger-plugin.git;118;183;46;130;8045;50;412;20;1893;37.86;1061;89.565.217.391;462.826.086.957;101;2129;0;0;213;0;0;1815;14;6;2129;14;6;428.571.428.571;0.657585721;119.25;468.123.333.333.333;337.463.768.116;276.195.652.174;1893;97.771.898.550.725;Application
poi;git://github.com/apache/poi.git;104;21;0;99;133952;72;4356;18;4949;687.361.111.111;6500;#DIV/0!;#DIV/0!;6675;41475;71;4;3458;90;10;31342;285;177;41475;446;191;428.251.121.076;10.753.465.943;56;583.983.333.333.333;#DIV/0!;#DIV/0!;4949;#DIV/0!;Application
owlapi;git://github.com/owlcs/owlapi.git;122;33;9;97;131663;13;2057;7;2408;1.852.307.692.308;2106;2.285.555.555.556;24.187.777.777.778;1551;21769;4;4;2225;32;28;17993;102;27;21769;138;59;427.536.231.884;0.6339289816;65.25;592.356.666.666.667;8.854.444.444.444;13.236.666.666.667;2408;127.836.055.555.556;Non-web libraries and frameworks
fred;git://github.com/freenet/fred.git;175;46;59;82;154099;1940;1839;66;3859;19.891.752.577;29022;311.694.915.254;3.653.728.813.559;4366;21557;7;1;1606;10;8;15585;51;20;21557;68;29;426.470.588.235;0.3154427796;90.5;17977;1.518.474.576.271;1.982.711.864.407;3859;44.553.237.288.136;Application
spring-webflow;git://github.com/spring-projects/spring-webflow.git;101;33;11;99;31422;38;952;14;3163;832.368.421.053;2476;865.454.545.455;6.825.454.545.455;130;7508;2;0;915;9;7;6463;8;1;7508;19;8;421.052.631.579;0.253063399;61;226537;2.600.303.030.303;3.845.454.545.455;3163;460.811.151.515.152;Software tools
lucene-solr;git://github.com/apache/lucene-solr.git;1116;205;25;774;662977;40;9126;124;1983;49575;15648;365.04;3045.64;13093;76141;23;11;8104;20;12;54944;74;26;76141;117;49;418.803.418.803;0.1536622844;530;43362;11.452.266.666.667;1705.34;1983;97.451.133.333.333;Non-web libraries and frameworks
platform_packages_apps_email;git://github.com/android/platform_packages_apps_email.git;106;18;29;99;53509;158;436;56;2403;152.088.607.595;13950;150.344.827.586;1.671.724.137.931;1281;4848;26;6;403;0;0;3164;16;11;4848;42;17;404.761.904.762;0.8663366337;63;70.323.333.333.333;704.022.988.506;911.034.482.759;2403;1.931.967.816.092;Non-web libraries and frameworks
spring-data-redis;git://github.com/spring-projects/spring-data-redis.git;223;84;22;168;15822;40;427;59;1840;46;1180;194.090.909.091;3.244.545.454.545;133;7138;0;0;431;5;2;6574;15;6;7138;20;8;40;0.2801905296;124.25;454.986.666.666.667;1.219.545.454.545;1.719.318.181.818;1840;95.513.606.060.606;Non-web libraries and frameworks
Chronicle-Map;git://github.com/OpenHFT/Chronicle-Map.git;257;52;9;54;128988;58;370;7;397;68.448.275.862;1737;411.111.111.111;5.177.777.777.778;625;4660;0;0;519;4;3;3516;11;3;4660;15;6;40;0.321888412;93;148602;1.892.962.962.963;2.794.444.444.444;397;299.121.481.481.481;Application
bndtools;git://github.com/bndtools/bndtools.git;152;35;20;66;439514;31;1632;6;2380;767.741.935.484;2494;81.6;233.75;529;4675;2;0;583;0;0;3563;8;4;4675;10;4;40;0.2139037433;68.25;156.213.333.333.333;1.117.833.333.333;157675;2380;36.678.083.333.333;Application
GeoGig;git://github.com/boundlessgeo/GeoGig.git;283;74;28;75;40960;16;1229;28;1207;754.375;1835;438.928.571.429;3.033.571.428.571;792;8494;0;0;1050;0;0;6652;10;4;8494;10;4;40;0.1177301625;115;481.786.666.666.667;1.250.833.333.333;173625;1207;9959875;Application
material-dialogs;git://github.com/afollestad/material-dialogs.git;3584;257;36;665;135899;70;143;2;289;41.285.714.286;1010;39.722.222.222;200.833.333.333;128;723;0;0;43;0;0;552;5;2;723;5;2;40;0.6915629322;1135.5;1384;200.185.185.185;120.277.777.778;289;5.681.092.592.593;Non-web libraries and frameworks
sql2o;git://github.com/aaberg/sql2o.git;177;32;16;59;3239;49;190;8;1553;31.693.877.551;545;11875;82625;141;1322;0;0;215;0;0;966;5;2;1322;5;2;40;0.378214826;71;142.703.333.333.333;368.333.333.333;47.25;1553;31.956.833.333.333;Non-web libraries and frameworks
weave;git://github.com/continuuity/weave.git;108;63;6;23;41216;6;273;13;367;611.666.666.667;393;45.5;3.998.333.333.333;82;2399;0;0;352;0;0;1965;5;2;2399;5;2;40;0.2084201751;50;164.136.666.666.667;1.504.444.444.444;2.226.666.666.667;367;34.407.555.555.556;Software tools
SIREn;git://github.com/rdelbru/SIREn.git;100;28;2;35;46386;6;456;8;168;28;7;228;1779.5;428;3559;0;0;584;5;2;2547;0;0;3559;5;2;40;0.1404889014;41.25;3529;6.698.333.333.333;1003.75;168;10.823.666.666.667;Non-web libraries and frameworks
spring-data-solr;git://github.com/spring-projects/spring-data-solr.git;173;93;11;110;6672;30;356;25;1184;394.666.666.667;484;323.636.363.636;333;145;3663;0;0;410;0;0;3108;5;2;3663;5;2;40;0.1365001365;96.75;75.053.333.333.333;1.254.545.454.545;1.826.818.181.818;1184;18.188.439.393.939;Non-web libraries and frameworks
OpenGrok;git://github.com/OpenGrok/OpenGrok.git;621;87;31;143;17941;15;912;4;3192;212.8;1889;294.193.548.387;1.274.516.129.032;511;3951;0;0;384;0;0;3056;5;2;3951;5;2;40;0.1265502404;220.5;28.296.666.666.667;62.623.655.914;78.435.483.871;3192;12.766.451.612.903;Software tools
gwt-maven-plugin;git://github.com/gwt-maven-plugin/gwt-maven-plugin.git;126;24;19;77;4223;18;315;3;1704;946.666.666.667;404;165.789.473.684;353.684.210.526;25;672;1;1;151;1;1;496;3;0;672;5;2;40;0.744047619;61.5;73630;23.649.122.807;259.736.842.105;1704;150.890.245.614.035;Application
pentaho-platform;git://github.com/pentaho/pentaho-platform.git;138;80;74;337;214332;36;5886;46;1430;397.222.222.222;5851;795.405.405.405;3.301.756.756.757;2754;24433;1;1;2252;30;19;19427;100;32;24433;131;52;396.946.564.885;0.5361601113;157.25;69649;1.612.387.387.387;2.048.581.081.081;1430;143.204.693.693.694;Non-web libraries and frameworks
jetty.project;git://github.com/eclipse/jetty.project.git;555;119;20;394;180872;222;3642;14;2349;105.810.810.811;11198;182.1;1419.7;2366;28394;11;2;3304;15;6;22724;75;32;28394;101;40;39.603.960.396;0.3557089526;272;637.303.333.333.333;540.6;800.9;2349;135.385.666.666.667;Application
infinispan;git://github.com/infinispan/infinispan.git;394;62;89;300;156264;175;6533;15;2347;134.114.285.714;7466;73.404.494.382;6.338.202.247.191;5774;56410;23;1;6844;34;18;43792;146;61;56410;203;80;394.088.669.951;0.3598652721;211.25;674.916.666.666.667;2.654.082.397.004;3.536.123.595.506;2347;141.337.874.531.835;Software tools
